RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
GROUP	6	openflights	1707068025551	1707068027309	748	OK
REQUEST	6	ticketattributes	/cgi-bin/reservations.pl	1707068027310	1707068027428	OK	 
REQUEST	6	ticketattributes	/cgi-bin/reservations.pl	1707068027430	1707068027717	OK	 
REQUEST	6	ticketattributes	/cgi-bin/reservations.pl	1707068027724	1707068028153	OK	 
GROUP	6	ticketattributes	1707068027309	1707068029138	834	OK
REQUEST	6	Itinerary	/cgi-bin/welcome.pl	1707068029139	1707068030103	OK	 
REQUEST	6	Itinerary	/cgi-bin/nav.pl	1707068030105	1707068030292	OK	 
REQUEST	6	Itinerary	/cgi-bin/itinerary.pl	1707068030294	1707068031117	OK	 
GROUP	6	Itinerary	1707068029138	1707068032108	1974	OK
REQUEST	6	signoff	/cgi-bin/welcome.pl	1707068032109	1707068032347	OK	 
REQUEST	6	signoff	/cgi-bin/nav.pl	1707068032349	1707068032560	OK	 
GROUP	6	signoff	1707068032108	1707068033577	449	OK
USER	mainScenario	6	END	1707068022277	1707068033577
USER	mainScenario	7	START	1707068039290	1707068039290
REQUEST	7	open	/webtours/	1707068039291	1707068039555	OK	 
REQUEST	7	open	/cgi-bin/welcome.pl	1707068039556	1707068039711	OK	 
REQUEST	7	open	/cgi-bin/nav.pll	1707068039713	1707068040639	OK	 
GROUP	7	open	1707068039291	1707068041648	1345	OK
REQUEST	7	login	/cgi-bin/login.pl	1707068041649	1707068041763	OK	 
REQUEST	7	login	/cgi-bin/login.pl	1707068041765	1707068041898	OK	 
REQUEST	7	login	/cgi-bin/nav.pll	1707068041900	1707068041972	OK	 
GROUP	7	login	1707068041648	1707068042975	319	OK
REQUEST	7	openflights	/cgi-bin/welcome.pl	1707068042976	1707068043091	OK	 
REQUEST	7	openflights	/cgi-bin/reservations.pl	1707068043092	1707068043436	OK	 
REQUEST	7	openflights	/cgi-bin/nav.pl	1707068043438	1707068043502	OK	 
GROUP	7	openflights	1707068042975	1707068044504	523	OK
REQUEST	7	ticketattributes	/cgi-bin/reservations.pl	1707068044505	1707068045053	OK	 
REQUEST	7	ticketattributes	/cgi-bin/reservations.pl	1707068045055	1707068045249	OK	 
REQUEST	7	ticketattributes	/cgi-bin/reservations.pl	1707068045251	1707068045408	OK	 
GROUP	7	ticketattributes	1707068044504	1707068046408	899	OK
